Privy Council Office,Bureau du Conseil privé
Public Health Agency of Canada,Agence de la santé publique du Canada
Public Prosecution Service of Canada,Service des poursuites pénales du Canada
Public Safety Canada,Sécurité publique Canada
Public Sector Pension Investment Board,Office d’investissement des régimes de pensions du secteur public
Public Service Commission of Canada,Commission de la fonction publique du Canada
Public Service Health Care Plan,Régime de soins de santé de la fonction publique
Public Service Labour Relations Board,Commission des relations de travail dans la fonction publique
Public Service Staffing Tribunal,Tribunal de la dotation de la fonction publique
Public Works and Government Services Canada,Travaux publics et Services gouvernementaux Canada
Quebec Port Authority,Administration portuaire de Québec
Royal Canadian Mint,Monnaie royale canadienne
Royal Canadian Mounted Police,Gendarmerie royale du Canada
Security Intelligence Review Committee,Comité de surveillance des activités de renseignement de sécurité
Shared Services Canada,Services partagés Canada
Social Sciences and Humanities Research Council,Conseil de recherches en sciences humaines
Standards Council of Canada,Conseil canadien des normes
Statistics Canada,Statistique Canada
Status of Women Canada,Condition féminine Canada
Telefilm Canada,Téléfilm Canada
Toronto Port Authority,Administration portuaire de Toronto
Transport Canada,Transports Canada
Transportation Safety Board of Canada,Bureau de la sécurité des transports du Canada
Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada
Veterans Affairs Canada,Anciens Combattants Canada
Veterans Review and Appeal Board,Tribunal des anciens combattants (révision et appel) Canada
VIA Rail Canada,VIA Rail Canada
Western Economic Diversification Canada,Diversification de l'économie de l'Ouest Canada
Yukon Environmental and Socio-economic Assessment Board,Office d’évaluation environnementale et socio-économique du Yukon
,Fondation canadienne pour l’innovation Fondation canadienne pour l’innovation
,Organisation Information de contact Annee Mois Numero de la demande Sommaire de la demande Disposition Nombre de pages
